team,season,name,gameId,opposingTeam,home_or_away,situation,penaltiesFor,penaltiesAgainst,delta,total
ATL,2008,ATL,2008020194,BUF,AWAY,all,4,4,0,8
ANA,2008,ANA,2008020195,DAL,HOME,all,8,7,1,15
DAL,2008,DAL,2008020195,ANA,AWAY,all,7,8,1,15
BUF,2008,BUF,2008020196,BOS,AWAY,all,3,2,1,5
BOS,2008,BOS,2008020196,BUF,HOME,all,2,3,1,5
TOR,2008,TOR,2008020197,MTL,HOME,all,6,9,3,15
MTL,2008,MTL,2008020197,TOR,AWAY,all,9,6,3,15
PIT,2008,PIT,2008020198,NYI,AWAY,all,3,4,1,7
NYI,2008,NYI,2008020198,PIT,HOME,all,4,3,1,7
PHI,2008,PHI,2008020199,T.B,HOME,all,7,7,0,14
T.B,2008,T.B,2008020199,PHI,AWAY,all,7,7,0,14
NYR,2008,NYR,2008020200,WSH,AWAY,all,3,3,0,6
WSH,2008,WSH,2008020200,NYR,HOME,all,3,3,0,6
